key,name
503,SchoolBus_ForAssignment
504,Taxi_ForAssignment
505,PuT_X1_ForAssignment
506,PuT_X2_ForAssignment
507,CompanyBus_forAssignment
508,PuT_X_ForAssignment
509,CommCar_ForAssignment
510,PuT_X_NoVisitors
511,PuT_X_Visitors
520,Car_ExtMat_forAssignment
521,VistorsCarTaxi For Assignment
598,TotalTrips
599,TotalTripsNoLabs
6,EVENT PuT PM
600,Dummy
601,DP_01Local_male
602,DP_02Local_female
603,DP_03Exp_m_CA_HI
604,DP_04Exp_m_CA_MI
605,DP_05Exp_m_CA_LI
606,DP_06Exp_m_NCA_MI
607,DP_07Exp_m_NCA_LI
608,DP_08Exp_f_CA_HI
609,DP_09Exp_f_CA_MI
610,DP_10Exp_f_CA_LI
611,DP_11Exp_f_NCA_MI
612,DP_12Exp_f_NCA_LI
613,DP_13Local_P1
614,DP_14Local_P2
615,DP_15Expat_P1
616,DP_16Expat_P2
617,DP_17Students
618,DP_18Retired
619,DP_19LabC_CA
620,DP_20LabC_NCA
621,DP_21LabO_CA
622,DP_22LabO_NCA
623,DP_23Visitors_Tourists
624,DP_C_SecSchool
625,DP_E_PersonalBusiness
626,DP_H_Home
627,DP_L_LabConstructionSites
628,DP_P_PrimarySchool
629,DP_R_Escort
630,DP_S_Shopping
631,DP_T_TouristTrip
632,DP_U_University
633,DP_V_Visiting
634,DP_W_work_G
635,DP_X_Others
636,DP_Y_MallShopping
637,DP_Z_LabOthers
638,DP_Education
639,DP_01Local_male x A
640,DP_02Local_female x A
641,DP_03Exp_m_CA_HI x A
642,DP_04Exp_m_CA_MI x A
643,DP_05Exp_m_CA_LI x A
644,DP_06Exp_m_NCA_MI x A
645,DP_07Exp_m_NCA_LI x A
646,DP_08Exp_f_CA_HI x A
647,DP_09Exp_f_CA_MI x A
648,DP_10Exp_f_CA_LI x A
649,DP_11Exp_f_NCA_MI x A
650,DP_12Exp_f_NCA_LI x A
651,DP_13Local_P1 x A
652,DP_14Local_P2 x A
653,DP_15Expat_P1 x A
654,DP_16Expat_P2 x A
655,DP_17Students x A
656,DP_18Retired x A
657,DP_19LabC_CA x A
658,DP_20LabC_NCA x A
659,DP_21LabO_CA x A
660,DP_22LabO_NCA x A
661,DP_23Visitors_Tourists x A
662,DP_01Local_male x C
663,DP_02Local_female x C
664,DP_03Exp_m_CA_HI x C
665,DP_04Exp_m_CA_MI x C
666,DP_05Exp_m_CA_LI x C
667,DP_06Exp_m_NCA_MI x C
668,DP_07Exp_m_NCA_LI x C
669,DP_08Exp_f_CA_HI x C
670,DP_09Exp_f_CA_MI x C
671,DP_10Exp_f_CA_LI x C
672,DP_11Exp_f_NCA_MI x C
673,DP_12Exp_f_NCA_LI x C
674,DP_13Local_P1 x C
675,DP_14Local_P2 x C
676,DP_15Expat_P1 x C
677,DP_16Expat_P2 x C
678,DP_17Students x C
679,DP_18Retired x C
680,DP_19LabC_CA x C
681,DP_20LabC_NCA x C
682,DP_21LabO_CA x C
683,DP_22LabO_NCA x C
684,DP_23Visitors_Tourists x C
685,DP_01Local_male x CP
686,DP_02Local_female x CP
687,DP_03Exp_m_CA_HI x CP
688,DP_04Exp_m_CA_MI x CP
689,DP_05Exp_m_CA_LI x CP
690,DP_06Exp_m_NCA_MI x CP
691,DP_07Exp_m_NCA_LI x CP
692,DP_08Exp_f_CA_HI x CP
693,DP_09Exp_f_CA_MI x CP
694,DP_10Exp_f_CA_LI x CP
695,DP_11Exp_f_NCA_MI x CP
696,DP_12Exp_f_NCA_LI x CP
697,DP_13Local_P1 x CP
698,DP_14Local_P2 x CP
699,DP_15Expat_P1 x CP
700,DP_16Expat_P2 x CP
701,DP_17Students x CP
702,DP_18Retired x CP
703,DP_19LabC_CA x CP
704,DP_20LabC_NCA x CP
705,DP_21LabO_CA x CP
706,DP_22LabO_NCA x CP
707,DP_23Visitors_Tourists x CP
708,DP_01Local_male x LB
709,DP_02Local_female x LB
710,DP_03Exp_m_CA_HI x LB
711,DP_04Exp_m_CA_MI x LB
712,DP_05Exp_m_CA_LI x LB
713,DP_06Exp_m_NCA_MI x LB
714,DP_07Exp_m_NCA_LI x LB
715,DP_08Exp_f_CA_HI x LB
716,DP_09Exp_f_CA_MI x LB
717,DP_10Exp_f_CA_LI x LB
718,DP_11Exp_f_NCA_MI x LB
719,DP_12Exp_f_NCA_LI x LB
720,DP_13Local_P1 x LB
721,DP_14Local_P2 x LB
722,DP_15Expat_P1 x LB
723,DP_16Expat_P2 x LB
724,DP_17Students x LB
725,DP_18Retired x LB
726,DP_19LabC_CA x LB
727,DP_20LabC_NCA x LB
728,DP_21LabO_CA x LB
729,DP_22LabO_NCA x LB
730,DP_23Visitors_Tourists x LB
731,DP_01Local_male x PR
732,DP_02Local_female x PR
733,DP_03Exp_m_CA_HI x PR
734,DP_04Exp_m_CA_MI x PR
735,DP_05Exp_m_CA_LI x PR
736,DP_06Exp_m_NCA_MI x PR
737,DP_07Exp_m_NCA_LI x PR
738,DP_08Exp_f_CA_HI x PR
739,DP_09Exp_f_CA_MI x PR
740,DP_10Exp_f_CA_LI x PR
741,DP_11Exp_f_NCA_MI x PR
742,DP_12Exp_f_NCA_LI x PR
743,DP_13Local_P1 x PR
744,DP_14Local_P2 x PR
745,DP_15Expat_P1 x PR
746,DP_16Expat_P2 x PR
747,DP_17Students x PR
748,DP_18Retired x PR
749,DP_19LabC_CA x PR
750,DP_20LabC_NCA x PR
751,DP_21LabO_CA x PR
752,DP_22LabO_NCA x PR
753,DP_23Visitors_Tourists x PR
754,DP_01Local_male x S
755,DP_02Local_female x S
756,DP_03Exp_m_CA_HI x S
757,DP_04Exp_m_CA_MI x S
758,DP_05Exp_m_CA_LI x S
759,DP_06Exp_m_NCA_MI x S
760,DP_07Exp_m_NCA_LI x S
761,DP_08Exp_f_CA_HI x S
762,DP_09Exp_f_CA_MI x S
763,DP_10Exp_f_CA_LI x S
764,DP_11Exp_f_NCA_MI x S
765,DP_12Exp_f_NCA_LI x S
766,DP_13Local_P1 x S
767,DP_14Local_P2 x S
768,DP_15Expat_P1 x S
769,DP_16Expat_P2 x S
770,DP_17Students x S
771,DP_18Retired x S
