coefficient_name,value,constrain
coef_ASC_joint_sr3_univ,0.0,F
coef_ASC_joint_walk_univ,0.0,F
coef_ASC_joint_bike_univ,0.0,F
coef_ASC_joint_walktrn_univ,0.0,F
coef_ASC_joint_knrtrn_univ,0.0,F
coef_ASC_joint_pnrtrn_univ,0.0,F
coef_ASC_joint_rh_univ,0.0,F
# School
coef_ivt_school,-0.01705,T
coef_cost_school,-0.00154,T
coef_iwait_school,-0.02533,T
coef_xwait_school,-0.02601,T
coef_xfers_drv_school,0.0,F
coef_walktimeshort_school,-0.03111,T
coef_walktime_school,-0.03111,T
coef_auxwalk_school,-0.02601,T
coef_bike_time_school,-0.02499,T
coef_drivetime_school,-0.03094,T
coef_ASC_s2_da_school,0.0,F
coef_ASC_s3_da_school,0.0,F
coef_ASC_s3_s2_school,0.0,F
coef_ASC_walk_da_school,0.0,F
coef_ASC_walk_s2_school,0.0,F
coef_ASC_walk_s3_school,0.0,F
coef_ASC_bike_walk_school,0.0,F
coef_ASC_walktrn_s2_school,0.0,F
coef_ASC_walktrn_s3_school,0.0,F
coef_ASC_walktrn_walk_school,0.0,F
coef_ASC_walktrn_bike_school,0.0,F
coef_ASC_walktrn_taxi_school,0.0,F
coef_ASC_walktrn_tnc_single_school,0.0,F
coef_ASC_walktrn_tnc_shared_school,0.0,F
coef_ASC_wlktrn_mr_school,0.0,F
coef_ASC_wlktrn_bm_school,0.0,F
coef_ASC_wlktrn_cr_school,0.0,F
coef_ASC_pnr_mr_school,0.0,F
coef_ASC_pnr_bm_school,0.0,F
coef_ASC_pnr_cr_school,0.0,F
coef_ASC_knr_mr_school,0.0,F
coef_ASC_knr_bm_school,0.0,F
coef_ASC_knr_cr_school,0.0,F
coef_ASC_rh_s2_school,0.0,F
coef_ASC_rh_s3_school,0.0,F
coef_ASC_rh_walk_school,0.0,F
coef_ASC_taxi_school,0.0,F
coef_ASC_tnc_single_school,0.0,F
coef_ASC_tnc_shared_school,0.0,F
coef_ASC_nostop_s2_da_school,0.0,T
coef_ASC_nostop_s3_da_school,0.0,T
coef_ASC_nostop_s3_s2_school,0.0,T
coef_ASC_obstops_first_s2_da_school,0.0,T
coef_ASC_obstops_first_s3_da_school,0.0,T
coef_ASC_obstops_first_s3_s2_school,0.0,F
coef_ASC_ibstops_last_s2_da_school,0.0,T
coef_ASC_ibstops_last_s3_da_school,0.0,T
coef_ASC_ibstops_last_s3_s2_school,0.0,F
coef_ASC_schbus_s2_school,0.0,F
coef_ASC_schbus_s3_school,0.0,F
coef_ASC_schbus_walk_school,0.0,F
coef_ASC_joint_sr2_school,0.0,F
coef_ASC_joint_sr3_school,0.0,F
coef_ASC_joint_walk_school,0.0,F
coef_ASC_joint_bike_school,0.0,F
coef_ASC_joint_walktrn_school,0.0,F
coef_ASC_joint_knrtrn_school,0.0,F
coef_ASC_joint_pnrtrn_school,0.0,F
coef_ASC_joint_rh_school,0.0,F
# Maintenance
coef_ivt_maintenance,-0.0359,T
coef_cost_maintenance,-0.000388,T
coef_iwait_maintenance,-0.05385,T
coef_xwait_maintenance,-0.0632,T
coef_xfers_drv_maintenance,0.0,T
coef_walktimeshort_maintenance,-0.062530047,T
coef_walktime_maintenance,-0.082249765,T
coef_auxwalk_maintenance,-0.0718,T
coef_bike_time_maintenance,-0.087980282,T
coef_drivetime_maintenance,-0.0718,T
coef_ASC_s2_da_maintenance,0.0,F
coef_ASC_s3_da_maintenance,0.0,F
coef_ASC_s3_s2_maintenance,0.0,F
coef_ASC_walk_da_maintenance,0.0,F
coef_ASC_walk_s2_maintenance,0.0,F
coef_ASC_walk_s3_maintenance,0.0,F
coef_ASC_bike_walk_maintenance,0.0,F
coef_ASC_walktrn_s2_maintenance,0.0,F
coef_ASC_walktrn_s3_maintenance,0.0,F
coef_ASC_walktrn_walk_maintenance,0.0,F
coef_ASC_walktrn_bike_maintenance,0.0,F
coef_ASC_walktrn_taxi_maintenance,0.0,F
coef_ASC_walktrn_tnc_single_maintenance,0.0,F
coef_ASC_walktrn_tnc_shared_maintenance,0.0,F
coef_ASC_wlktrn_mr_maintenance,0.0,F
coef_ASC_wlktrn_bm_maintenance,0.0,F
coef_ASC_wlktrn_cr_maintenance,0.0,F
coef_ASC_pnr_mr_maintenance,0.0,T
coef_ASC_pnr_bm_maintenance,0.0,F
coef_ASC_pnr_cr_maintenance,0.0,F
coef_ASC_knr_mr_maintenance,0.0,F
coef_ASC_knr_bm_maintenance,0.0,F
coef_ASC_knr_cr_maintenance,0.0,F
coef_ASC_rh_s2_maintenance,0.0,F
coef_ASC_rh_s3_maintenance,0.0,F
coef_ASC_rh_walk_maintenance,0.0,F
coef_ASC_taxi_maintenance,0.0,F
coef_ASC_tnc_single_maintenance,0.0,F
coef_ASC_tnc_shared_maintenance,0.0,F
coef_ASC_nostop_s2_da_maintenance,0.0,F
coef_ASC_nostop_s3_da_maintenance,0.0,F
coef_ASC_nostop_s3_s2_maintenance,0.0,F
